Name_of_Space_Object,International_Designator,National_Designator_s1,Launch_Date,Launching_State,Launch_Site,Launch_Vehicle,Basic_Perigee,Basic_Apogee,Basic_Inclination,Current_Function,Status
,2025-075A,,2025-04-13,,,,,,,,in orbit
,2025-075B,,2025-04-13,,,,,,,,in orbit
,2025-075C,,2025-04-13,,,,,,,,in orbit
,2025-075D,,2025-04-13,,,,,,,,in orbit
,2025-075E,,2025-04-13,,,,,,,,in orbit
,2025-075F,,2025-04-13,,,,,,,,in orbit
,2025-075G,,2025-04-13,,,,,,,,in orbit
,2025-074D,,2025-04-12,,,,,,,,in orbit
,2025-074E,,2025-04-12,,,,,,,,in orbit
,2025-074F,,2025-04-12,,,,,,,,in orbit
,2025-074G,,2025-04-12,,,,,,,,in orbit
,2025-074H,,2025-04-12,,,,,,,,in orbit
,2025-074J,,2025-04-12,,,,,,,,in orbit
,2025-074K,,2025-04-12,,,,,,,,in orbit
,2025-074L,,2025-04-12,,,,,,,,in orbit
,2025-074M,,2025-04-12,,,,,,,,in orbit
,2025-074N,,2025-04-12,,,,,,,,in orbit
,2025-074Q,,2025-04-12,,,,,,,,in orbit
,2025-074S,,2025-04-12,,,,,,,,in orbit
,2025-074U,,2025-04-12,,,,,,,,in orbit
,2025-074W,,2025-04-12,,,,,,,,in orbit
,2025-074P,,2025-04-12,,,,,,,,in orbit
,2025-074R,,2025-04-12,,,,,,,,in orbit
,2025-074T,,2025-04-12,,,,,,,,in orbit
,2025-074X,,2025-04-12,,,,,,,,in orbit
,2025-074V,,2025-04-12,,,,,,,,in orbit
,2025-074B,,2025-04-12,,,,,,,,in orbit
,2025-074A,,2025-04-12,,,,,,,,in orbit
,2025-074C,,2025-04-12,,,,,,,,in orbit
,2025-071A,,2025-04-07,,,,,,,,in orbit
,2025-071B,,2025-04-07,,,,,,,,in orbit
,2025-071C,,2025-04-07,,,,,,,,in orbit
,2025-071D,,2025-04-07,,,,,,,,in orbit
,2025-071E,,2025-04-07,,,,,,,,in orbit
,2025-071F,,2025-04-07,,,,,,,,in orbit
,2025-071L,,2025-04-07,,,,,,,,in orbit
,2025-071M,,2025-04-07,,,,,,,,in orbit
,2025-071G,,2025-04-07,,,,,,,,in orbit
,2025-071H,,2025-04-07,,,,,,,,in orbit
,2025-071J,,2025-04-07,,,,,,,,in orbit
,2025-071K,,2025-04-07,,,,,,,,in orbit
,2025-071N,,2025-04-07,,,,,,,,in orbit
,2025-071P,,2025-04-07,,,,,,,,in orbit
,2025-071U,,2025-04-07,,,,,,,,in orbit
,2025-071Q,,2025-04-07,,,,,,,,in orbit
,2025-071S,,2025-04-07,,,,,,,,in orbit
,2025-071T,,2025-04-07,,,,,,,,in orbit
,2025-071V,,2025-04-07,,,,,,,,in orbit
,2025-071R,,2025-04-07,,,,,,,,in orbit
,2025-071AA,,2025-04-07,,,,,,,,in orbit
,2025-071AB,,2025-04-07,,,,,,,,in orbit
,2025-071AC,,2025-04-07,,,,,,,,in orbit
,2025-071W,,2025-04-07,,,,,,,,in orbit
,2025-071X,,2025-04-07,,,,,,,,in orbit
,2025-071Y,,2025-04-07,,,,,,,,in orbit
,2025-071Z,,2025-04-07,,,,,,,,in orbit
,2025-070T,,2025-04-06,,,,,,,,in orbit
,2025-070N,,2025-04-06,,,,,,,,in orbit
,2025-070M,,2025-04-06,,,,,,,,in orbit
,2025-070P,,2025-04-06,,,,,,,,in orbit
,2025-070Q,,2025-04-06,,,,,,,,in orbit
,2025-070S,,2025-04-06,,,,,,,,in orbit
,2025-070T,,2025-04-06,,,,,,,,in orbit
,2025-070R,,2025-04-06,,,,,,,,in orbit
,2025-070AA,,2025-04-06,,,,,,,,in orbit
,2025-070AB,,2025-04-06,,,,,,,,in orbit
,2025-070AD,,2025-04-06,,,,,,,,in orbit
,2025-070AC,,2025-04-06,,,,,,,,in orbit
,2025-070V,,2025-04-06,,,,,,,,in orbit
,2025-070X,,2025-04-06,,,,,,,,in orbit
,2025-070Y,,2025-04-06,,,,,,,,in orbit
,2025-070Z,,2025-04-06,,,,,,,,in orbit
,2025-070W,,2025-04-06,,,,,,,,in orbit
,2025-070A,,2025-04-06,,,,,,,,in orbit
,2025-070B,,2025-04-06,,,,,,,,in orbit
,2025-070C,,2025-04-06,,,,,,,,in orbit
,2025-070D,,2025-04-06,,,,,,,,in orbit
,2025-070E,,2025-04-06,,,,,,,,in orbit
,2025-070F,,2025-04-06,,,,,,,,in orbit
,2025-070H,,2025-04-06,,,,,,,,in orbit
,2025-070G,,2025-04-06,,,,,,,,in orbit
,2025-070J,,2025-04-06,,,,,,,,in orbit
,2025-070K,,2025-04-06,,,,,,,,in orbit
,2025-070L,,2025-04-06,,,,,,,,in orbit
,2025-069B,,2025-04-04,,,,,,,,in orbit
,2025-069A,,2025-04-04,,,,,,,,in orbit
,2025-069C,,2025-04-04,,,,,,,,in orbit
,2025-069D,,2025-04-04,,,,,,,,in orbit
,2025-069G,,2025-04-04,,,,,,,,in orbit
,2025-069N,,2025-04-04,,,,,,,,in orbit
,2025-069E,,2025-04-04,,,,,,,,in orbit
,2025-069AA,,2025-04-04,,,,,,,,in orbit
,2025-069L,,2025-04-04,,,,,,,,in orbit
,2025-069M,,2025-04-04,,,,,,,,in orbit
,2025-069Q,,2025-04-04,,,,,,,,in orbit
,2025-069S,,2025-04-04,,,,,,,,in orbit
,2025-069T,,2025-04-04,,,,,,,,in orbit
,2025-069U,,2025-04-04,,,,,,,,in orbit
,2025-069V,,2025-04-04,,,,,,,,in orbit
,2025-069W,,2025-04-04,,,,,,,,in orbit
,2025-069X,,2025-04-04,,,,,,,,in orbit
,2025-069R,,2025-04-04,,,,,,,,in orbit
,2025-069AC,,2025-04-04,,,,,,,,in orbit
,2025-069P,,2025-04-04,,,,,,,,in orbit
,2025-069F,,2025-04-04,,,,,,,,in orbit
,2025-069H,,2025-04-04,,,,,,,,in orbit
,2025-069J,,2025-04-04,,,,,,,,in orbit
,2025-069K,,2025-04-04,,,,,,,,in orbit
,2025-069Y,,2025-04-04,,,,,,,,in orbit
,2025-069Z,,2025-04-04,,,,,,,,in orbit
,2025-069AB,,2025-04-04,,,,,,,,in orbit
,2025-066A,,2025-04-01,,,,,,,,recovered
,2025-065A,,2025-03-31,,,,,,,,in orbit
,2025-065B,,2025-03-31,,,,,,,,in orbit
,2025-065C,,2025-03-31,,,,,,,,in orbit
,2025-065D,,2025-03-31,,,,,,,,in orbit
,2025-065E,,2025-03-31,,,,,,,,in orbit
,2025-065F,,2025-03-31,,,,,,,,in orbit
,2025-065S,,2025-03-31,,,,,,,,in orbit
,2025-065U,,2025-03-31,,,,,,,,in orbit
,2025-065V,,2025-03-31,,,,,,,,in orbit
,2025-065W,,2025-03-31,,,,,,,,in orbit
,2025-065X,,2025-03-31,,,,,,,,in orbit
,2025-065Y,,2025-03-31,,,,,,,,in orbit
,2025-065Z,,2025-03-31,,,,,,,,in orbit
,2025-065R,,2025-03-31,,,,,,,,in orbit
,2025-065T,,2025-03-31,,,,,,,,in orbit
,2025-065G,,2025-03-31,,,,,,,,in orbit
,2025-065H,,2025-03-31,,,,,,,,in orbit
,2025-065J,,2025-03-31,,,,,,,,in orbit
,2025-065K,,2025-03-31,,,,,,,,in orbit
,2025-065L,,2025-03-31,,,,,,,,in orbit
,2025-065M,,2025-03-31,,,,,,,,in orbit
,2025-065N,,2025-03-31,,,,,,,,in orbit
,2025-065P,,2025-03-31,,,,,,,,in orbit
,2025-065Q,,2025-03-31,,,,,,,,in orbit
,2025-065AA,,2025-03-31,,,,,,,,in orbit
,2025-065AB,,2025-03-31,,,,,,,,in orbit
,2025-065AC,,2025-03-31,,,,,,,,in orbit
,2025-065AD,,2025-03-31,,,,,,,,in orbit
,2025-063B,,2025-03-26,,,,,,,,in orbit
,2025-063C,,2025-03-26,,,,,,,,in orbit
,2025-063D,,2025-03-26,,,,,,,,in orbit
,2025-063E,,2025-03-26,,,,,,,,in orbit
,2025-063F,,2025-03-26,,,,,,,,in orbit
,2025-063G,,2025-03-26,,,,,,,,in orbit
,2025-063H,,2025-03-26,,,,,,,,in orbit
,2025-063J,,2025-03-26,,,,,,,,in orbit
,2025-063AA,,2025-03-26,,,,,,,,in orbit
,2025-063AB,,2025-03-26,,,,,,,,in orbit
,2025-063T,,2025-03-26,,,,,,,,in orbit
,2025-063U,,2025-03-26,,,,,,,,in orbit
,2025-063V,,2025-03-26,,,,,,,,in orbit
,2025-063W,,2025-03-26,,,,,,,,in orbit
,2025-063X,,2025-03-26,,,,,,,,in orbit
,2025-063Z,,2025-03-26,,,,,,,,in orbit
,2025-063Y,,2025-03-26,,,,,,,,in orbit
,2025-063AC,,2025-03-26,,,,,,,,in orbit
,2025-063A,,2025-03-26,,,,,,,,in orbit
,2025-063M,,2025-03-26,,,,,,,,in orbit
,2025-063K,,2025-03-26,,,,,,,,in orbit
,2025-063L,,2025-03-26,,,,,,,,in orbit
,2025-063N,,2025-03-26,,,,,,,,in orbit
,2025-063P,,2025-03-26,,,,,,,,in orbit
,2025-063Q,,2025-03-26,,,,,,,,in orbit
,2025-063S,,2025-03-26,,,,,,,,in orbit
,2025-063R,,2025-03-26,,,,,,,,in orbit
PoSat-2,2025-009DR,PT-SAT-04-2025,2025-03-26,,,,,,,,in orbit
,2025-060A,,2025-03-24,,,,,,,,in orbit
,2025-059A,,2025-03-21,,,,,,,,in orbit
,2025-059B,,2025-03-21,,,,,,,,in orbit
,2025-058G,,2025-03-21,,,,,,,,in orbit
,2025-058A,,2025-03-21,,,,,,,,in orbit
,2025-058B,,2025-03-21,,,,,,,,in orbit
,2025-058C,,2025-03-21,,,,,,,,in orbit
,2025-058D,,2025-03-21,,,,,,,,in orbit
,2025-058E,,2025-03-21,,,,,,,,in orbit
,2025-058F,,2025-03-21,,,,,,,,in orbit
,2025-058H,,2025-03-21,,,,,,,,in orbit
,2025-058J,,2025-03-21,,,,,,,,in orbit
,2025-058K,,2025-03-21,,,,,,,,in orbit
,2025-058L,,2025-03-21,,,,,,,,in orbit
,2025-059C,,2025-03-21,,,,,,,,in orbit
,2025-059D,,2025-03-21,,,,,,,,in orbit
,2025-059E,,2025-03-21,,,,,,,,in orbit
,2025-059F,,2025-03-21,,,,,,,,in orbit
